song,plays,datetime,artist,album
Little Chaos,1,"16 Jun 2025, 15:30",Orla Gartland,Little Chaos
Lust for Life,1,"16 Jun 2025, 15:26",Lana Del Rey,Lust for Life
Conspiracy,1,"16 Jun 2025, 15:22",Paramore,All We Know Is Falling
Falling Forever,1,"16 Jun 2025, 15:18",Dua Lipa,Radical Optimism
Imaginary,1,"16 Jun 2025, 15:14",Evanescence,Fallen
Hurt,1,"16 Jun 2025, 15:11",OneRepublic,Artificial Paradise (Deluxe)
Die For You,1,"16 Jun 2025, 15:08",Calum Scott,Die For You
I'm a Mess,1,"16 Jun 2025, 15:05",Bebe Rexha,Expectations
The End,1,"16 Jun 2025, 15:01",Kings of Leon,Come Around Sundown (Expanded Edition)
We Can't Stop,1,"16 Jun 2025, 14:57",Miley Cyrus,Bangerz (Deluxe Version)
Call Me When You're Sober,1,"16 Jun 2025, 14:53",Evanescence,The Open Door
HOTBOX,1,"16 Jun 2025, 14:50",Lil Nas X,Hotbox
LOVEBITES,1,"16 Jun 2025, 14:47",Lava La Rue,Poison Cookie ft. AUDREY NUNA
Las de la Intuición,1,"16 Jun 2025, 14:43",Shakira,"Fijación Oral, Vol. 1"
Everyday Is Christmas,1,"16 Jun 2025, 14:40",Sia,Everyday is Christmas (Deluxe Edition)
Can’t Stop,1,"16 Jun 2025, 14:35",OneRepublic,Native
Can’t Stop,1,"16 Jun 2025, 05:01",OneRepublic,Native
Kaleidoscope,1,"16 Jun 2025, 04:58",Chappell Roan,The Rise and Fall of a Midwest Princess
Die For You,1,"16 Jun 2025, 04:55",Calum Scott,Die For You
Aries,1,"16 Jun 2025, 04:50",Belinda,INDÓMITA
Van Gogh,1,"16 Jun 2025, 04:47",Belinda,INDÓMITA
CUNTISSIMO,1,"16 Jun 2025, 04:43",Marina,PRINCESS OF POWER
Headphones On,1,"16 Jun 2025, 04:26",Addison Rae,Addison
Headphones On,1,"15 Jun 2025, 18:48",Addison Rae,Addison
Fame Is a Gun,1,"15 Jun 2025, 18:45",Addison Rae,Addison
I <3 YOU,1,"15 Jun 2025, 18:40",Marina,PRINCESS OF POWER
#NAME?,1,"15 Jun 2025, 18:37",Belinda,INDÓMITA
Never Not Love You,1,"15 Jun 2025, 18:34",Belinda,INDÓMITA
See a Little Light,1,"15 Jun 2025, 18:29",Belinda,Utopia
Style,1,"15 Jun 2025, 18:26",Taylor Swift,1989
Every Girl You've Ever Loved (feat. Naomi Campbell),1,"15 Jun 2025, 18:19",Miley Cyrus,Something Beautiful
Who Said,1,"15 Jun 2025, 18:16",MØ,Plæygirl
Walk of Fame (feat. Brittany Howard),1,"15 Jun 2025, 18:10",Miley Cyrus,Something Beautiful
Just Keep Watching (From F1® The Movie),1,"15 Jun 2025, 18:07",Tate McRae,Just Keep Watching (From F1® The Movie)
Heartbreak,1,"15 Jun 2025, 18:04",MØ,Plæygirl
Knife,1,"15 Jun 2025, 18:01",MØ,Plæygirl
I Think He Knows,1,"15 Jun 2025, 15:17",Minnz Piano,Lover: Piano Instrumentals
The Archer,1,"15 Jun 2025, 15:11",Minnz Piano,Lover: Piano Instrumentals
London Boy,1,"15 Jun 2025, 15:07",Minnz Piano,Lover: Piano Instrumentals
Soon You'll Get Better,1,"15 Jun 2025, 15:02",Minnz Piano,Lover: Piano Instrumentals
The Man,1,"15 Jun 2025, 14:56",Minnz Piano,Lover: Piano Instrumentals
Cruel Summer,1,"15 Jun 2025, 14:52",Minnz Piano,Lover: Piano Instrumentals
Death By A Thousand Cuts,1,"15 Jun 2025, 14:47",Minnz Piano,Lover: Piano Instrumentals
Cornelia Street,1,"15 Jun 2025, 14:39",Minnz Piano,Lover: Piano Instrumentals
Lover,1,"15 Jun 2025, 14:33",Minnz Piano,Lover: Piano Instrumentals
Daylight,1,"15 Jun 2025, 14:27",Minnz Piano,Lover: Piano Instrumentals
Never Not Love You,1,"15 Jun 2025, 09:01",Belinda,INDÓMITA
Van Gogh,1,"15 Jun 2025, 08:57",Belinda,INDÓMITA
Cactus,1,"15 Jun 2025, 08:54",Belinda,INDÓMITA
JACKPOT,1,"15 Jun 2025, 08:51",Belinda,INDÓMITA
Heterocromía,1,"15 Jun 2025, 08:47",Belinda,INDÓMITA
Wet Dreams,1,"15 Jun 2025, 08:45",Belinda,INDÓMITA
#NAME?,1,"15 Jun 2025, 08:41",Belinda,INDÓMITA
Silvana,1,"15 Jun 2025, 08:39",Belinda,INDÓMITA
DEATH NOTE,1,"15 Jun 2025, 08:36",Belinda,INDÓMITA
LA MALA,1,"15 Jun 2025, 08:33",Belinda,INDÓMITA
La Cuadrada,1,"15 Jun 2025, 08:31",Belinda,INDÓMITA
#NAME?,1,"15 Jun 2025, 08:27",Belinda,INDÓMITA
Van Gogh,1,"15 Jun 2025, 08:24",Belinda,INDÓMITA
Never Not Love You,1,"15 Jun 2025, 08:21",Belinda,INDÓMITA
Aries,1,"15 Jun 2025, 08:18",Belinda,INDÓMITA
Rayo Mcqueen,1,"15 Jun 2025, 08:14",Belinda,INDÓMITA
Mírame Feliz,1,"15 Jun 2025, 08:11",Belinda,INDÓMITA
Aries,1,"15 Jun 2025, 08:08",Belinda,INDÓMITA
300 Noches,1,"15 Jun 2025, 08:05",Belinda,INDÓMITA
Cursi De +,1,"15 Jun 2025, 08:01",Belinda,INDÓMITA
Never Not Love You,1,"15 Jun 2025, 06:38",Belinda,INDÓMITA
Van Gogh,1,"15 Jun 2025, 06:35",Belinda,INDÓMITA
Cactus,1,"15 Jun 2025, 06:32",Belinda,INDÓMITA
JACKPOT,1,"15 Jun 2025, 06:29",Belinda,INDÓMITA
Heterocromía,1,"15 Jun 2025, 06:25",Belinda,INDÓMITA
#NAME?,1,"15 Jun 2025, 06:19",Belinda,INDÓMITA
Silvana,1,"15 Jun 2025, 06:16",Belinda,INDÓMITA
DEATH NOTE,1,"15 Jun 2025, 06:13",Belinda,INDÓMITA
LA MALA,1,"15 Jun 2025, 06:11",Belinda,INDÓMITA
La Cuadrada,1,"15 Jun 2025, 06:08",Belinda,INDÓMITA
Aries,1,"15 Jun 2025, 06:05",Belinda,INDÓMITA
Rayo Mcqueen,1,"15 Jun 2025, 04:21",Belinda,INDÓMITA
Mírame Feliz,1,"15 Jun 2025, 04:14",Belinda,INDÓMITA
Aries,1,"15 Jun 2025, 04:11",Belinda,INDÓMITA
300 Noches,1,"15 Jun 2025, 04:07",Belinda,INDÓMITA
Cursi De +,1,"15 Jun 2025, 04:04",Belinda,INDÓMITA
Luz Sin Gravedad,1,"15 Jun 2025, 02:31",Belinda,Utopia
Vildchild,1,"15 Jun 2025, 02:27",MØ,Plæygirl
ALL THE LOVE,1,"15 Jun 2025, 02:24",Katy Perry,143
Kindness,1,"15 Jun 2025, 02:14",MØ,Motordrome
911,1,"15 Jun 2025, 02:10",Lady Gaga,Chromatica
Trying to Be Good,1,"15 Jun 2025, 02:07",MØ,Forever Neverland
Bella Traicion,1,"15 Jun 2025, 02:03",Belinda,Utopia
Blur,1,"15 Jun 2025, 02:00",MØ,Forever Neverland
Who Said,1,"15 Jun 2025, 01:57",MØ,Plæygirl
Bluest Flame,1,"15 Jun 2025, 01:54",Selena Gomez,I Said I Love You First
Bad Romance,1,"15 Jun 2025, 01:49",Lady Gaga,The Fame Monster (Deluxe Edition)
Final Song,1,"15 Jun 2025, 01:45",MØ,Final Song
cut my hair,1,"15 Jun 2025, 01:42",Tate McRae,THINK LATER
NO TEARS FOR NEW YEAR'S,1,"15 Jun 2025, 01:39",Katy Perry,1432
Dreams (feat. Nicole Zignago),1,"15 Jun 2025, 01:34",Aurora,What Happened To The Heart? (Deluxe)
Ojos Tristes,1,"15 Jun 2025, 01:31",Selena Gomez,I Said I Love You First
Keep Møving,1,"15 Jun 2025, 01:28",MØ,Plæygirl
Disease,1,"15 Jun 2025, 01:24",Lady Gaga,MAYHEM
Alguien Mas,1,"15 Jun 2025, 01:20",Belinda,Utopia
CRUSH,1,"15 Jun 2025, 01:18",Katy Perry,143
Crème Brulée,1,"15 Jun 2025, 01:15",David Archuleta,Crème Brulée
Abracadabra,1,"15 Jun 2025, 01:08",Lady Gaga,MAYHEM
Cool to Cry,1,"15 Jun 2025, 00:59",MØ,Motordrome
LOVE LOOKS PRETTY ON YOU,1,"15 Jun 2025, 00:56",Nessa Barrett,AFTERCARE DELUXE
Goosebumps,1,"15 Jun 2025, 00:53",MØ,Motordrome
Final Song (Mixed),1,"15 Jun 2025, 00:50",MØ,Walshy Fire Presents: MMMMØ - The Mix
Live to Survive,1,"15 Jun 2025, 00:47",MØ,Motordrome
LIFETIMES,1,"15 Jun 2025, 00:43",Katy Perry,143
"I'M HIS, HE'S MINE (feat. Doechii)",1,"15 Jun 2025, 00:40",Katy Perry,143
Don’t Wanna Cry,1,"15 Jun 2025, 00:37",Selena Gomez,I Said I Love You First...
Never Not Love You,1,"14 Jun 2025, 23:59",Belinda,INDÓMITA
Just Keep Watching (From F1® The Movie),1,"14 Jun 2025, 23:57",Tate McRae,Just Keep Watching (From F1® The Movie)
Never Not Love You,1,"14 Jun 2025, 23:54",Belinda,INDÓMITA
Just Keep Watching (From F1® The Movie),1,"14 Jun 2025, 23:51",Tate McRae,Just Keep Watching (From F1® The Movie)
Van Gogh,1,"14 Jun 2025, 23:48",Belinda,INDÓMITA
Just Keep Watching (From F1® The Movie),1,"14 Jun 2025, 23:46",Tate McRae,Just Keep Watching (From F1® The Movie)
Walk of Fame (feat. Brittany Howard),1,"14 Jun 2025, 23:37",Miley Cyrus,Something Beautiful
Just Keep Watching (From F1® The Movie),1,"14 Jun 2025, 23:34",Tate McRae,Just Keep Watching (From F1® The Movie)
Never Not Love You,1,"14 Jun 2025, 23:24",Belinda,INDÓMITA
See a Little Light,1,"14 Jun 2025, 23:20",Belinda,Utopia
Van Gogh,1,"14 Jun 2025, 23:17",Belinda,INDÓMITA
Just Keep Watching (From F1® The Movie),1,"14 Jun 2025, 22:37",Tate McRae,Just Keep Watching (From F1® The Movie)
Fame Is a Gun,1,"14 Jun 2025, 22:34",Addison Rae,Addison
Walk of Fame (feat. Brittany Howard),1,"14 Jun 2025, 22:28",Miley Cyrus,Something Beautiful
Every Girl You've Ever Loved (feat. Naomi Campbell),1,"14 Jun 2025, 22:23",Miley Cyrus,Something Beautiful
Just Keep Watching (From F1® The Movie),1,"14 Jun 2025, 22:20",Tate McRae,Just Keep Watching (From F1® The Movie)
Never Not Love You,1,"14 Jun 2025, 22:17",Belinda,INDÓMITA
See a Little Light,1,"14 Jun 2025, 22:13",Belinda,Utopia
Van Gogh,1,"14 Jun 2025, 22:10",Belinda,INDÓMITA
Aries,1,"14 Jun 2025, 22:07",Belinda,INDÓMITA
Aries,1,"14 Jun 2025, 22:04",Belinda,INDÓMITA
Van Gogh,1,"14 Jun 2025, 22:01",Belinda,INDÓMITA
#NAME?,1,"14 Jun 2025, 21:56",Belinda,INDÓMITA
#NAME?,1,"14 Jun 2025, 21:52",Belinda,INDÓMITA
#NAME?,1,"14 Jun 2025, 21:48",Belinda,INDÓMITA
#NAME?,1,"14 Jun 2025, 21:45",Belinda,INDÓMITA
#NAME?,1,"14 Jun 2025, 21:42",Belinda,INDÓMITA
Never Not Love You,1,"14 Jun 2025, 21:38",Belinda,INDÓMITA
Reborn,1,"14 Jun 2025, 21:33",Miley Cyrus,Something Beautiful
Aries,1,"14 Jun 2025, 21:30",Belinda,INDÓMITA
Van Gogh,1,"14 Jun 2025, 21:27",Belinda,INDÓMITA
Never Not Love You,1,"14 Jun 2025, 21:23",Belinda,INDÓMITA
I <3 YOU,1,"14 Jun 2025, 21:20",Marina,PRINCESS OF POWER
Fame Is a Gun,1,"14 Jun 2025, 21:17",Addison Rae,Addison
Every Girl You've Ever Loved (feat. Naomi Campbell),1,"14 Jun 2025, 21:11",Miley Cyrus,Something Beautiful
Walk of Fame (feat. Brittany Howard),1,"14 Jun 2025, 21:05",Miley Cyrus,Something Beautiful
Style,1,"14 Jun 2025, 21:01",Taylor Swift,1989
Who Said,1,"14 Jun 2025, 20:58",MØ,Plæygirl
Pretend You're God,1,"14 Jun 2025, 20:54",Miley Cyrus,Something Beautiful
CUNTISSIMO,1,"14 Jun 2025, 20:50",Marina,PRINCESS OF POWER
Heartbreak,1,"14 Jun 2025, 20:47",MØ,Plæygirl
Walk of Fame (feat. Brittany Howard),1,"14 Jun 2025, 20:41",Miley Cyrus,Something Beautiful
See a Little Light,1,"14 Jun 2025, 20:37",Belinda,Utopia
Van Gogh,1,"14 Jun 2025, 20:33",Belinda,INDÓMITA
Aries,1,"14 Jun 2025, 20:30",Belinda,INDÓMITA
I <3 YOU,1,"14 Jun 2025, 20:27",Marina,PRINCESS OF POWER
#NAME?,1,"14 Jun 2025, 20:23",Belinda,INDÓMITA
Every Girl You've Ever Loved (feat. Naomi Campbell),1,"14 Jun 2025, 19:12",Miley Cyrus,Something Beautiful
Aries,1,"14 Jun 2025, 19:09",Belinda,INDÓMITA
CUNTISSIMO,1,"14 Jun 2025, 19:05",Marina,PRINCESS OF POWER
See a Little Light,1,"14 Jun 2025, 19:01",Belinda,Utopia
I <3 YOU,1,"14 Jun 2025, 18:57",Marina,PRINCESS OF POWER
Van Gogh,1,"14 Jun 2025, 18:54",Belinda,INDÓMITA
Fame Is a Gun,1,"14 Jun 2025, 18:51",Addison Rae,Addison
Who Said,1,"14 Jun 2025, 18:48",MØ,Plæygirl
Style,1,"14 Jun 2025, 18:44",Taylor Swift,1989
Just Keep Watching (From F1® The Movie),1,"14 Jun 2025, 18:42",Tate McRae,Just Keep Watching (From F1® The Movie)
Never Not Love You,1,"14 Jun 2025, 18:38",Belinda,INDÓMITA
Headphones On,1,"14 Jun 2025, 18:34",Addison Rae,Addison
Golden Burning Sun,1,"14 Jun 2025, 18:29",Miley Cyrus,Something Beautiful
Reborn,1,"14 Jun 2025, 08:29",Miley Cyrus,Something Beautiful
Pretend You're God,1,"14 Jun 2025, 08:24",Miley Cyrus,Something Beautiful
Walk of Fame (feat. Brittany Howard),1,"14 Jun 2025, 08:18",Miley Cyrus,Something Beautiful
See a Little Light,1,"14 Jun 2025, 08:14",Belinda,Utopia
Aries,1,"14 Jun 2025, 08:11",Belinda,INDÓMITA
Van Gogh,1,"14 Jun 2025, 08:08",Belinda,INDÓMITA
Never Not Love You,1,"14 Jun 2025, 08:05",Belinda,INDÓMITA
Style,1,"14 Jun 2025, 08:01",Taylor Swift,1989
Walk of Fame (feat. Brittany Howard),1,"14 Jun 2025, 07:55",Miley Cyrus,Something Beautiful
Just Keep Watching (From F1® The Movie),1,"14 Jun 2025, 07:52",Tate McRae,Just Keep Watching (From F1® The Movie)
Heartbreak,1,"14 Jun 2025, 07:49",MØ,Plæygirl
#NAME?,1,"14 Jun 2025, 07:46",Belinda,INDÓMITA
Knife,1,"14 Jun 2025, 07:43",MØ,Plæygirl
Blood,1,"14 Jun 2025, 07:40",My Chemical Romance,The Black Parade
Famous Last Words,1,"14 Jun 2025, 07:22",My Chemical Romance,The Black Parade
Disenchanted,1,"14 Jun 2025, 06:38",My Chemical Romance,The Black Parade
Teenagers,1,"14 Jun 2025, 06:35",My Chemical Romance,The Black Parade
Sleep,1,"14 Jun 2025, 06:30",My Chemical Romance,The Black Parade
Mama,1,"14 Jun 2025, 06:25",My Chemical Romance,The Black Parade
Cancer,1,"14 Jun 2025, 06:23",My Chemical Romance,The Black Parade
House of Wolves,1,"14 Jun 2025, 06:20",My Chemical Romance,The Black Parade
I Don't Love You,1,"14 Jun 2025, 06:16",My Chemical Romance,The Black Parade
Welcome to the Black Parade,1,"14 Jun 2025, 05:45",My Chemical Romance,The Black Parade
The Sharpest Lives,1,"14 Jun 2025, 05:42",My Chemical Romance,The Black Parade
This Is How I Disappear,1,"14 Jun 2025, 05:38",My Chemical Romance,The Black Parade
Dead!,1,"14 Jun 2025, 05:35",My Chemical Romance,The Black Parade
The End.,1,"14 Jun 2025, 05:33",My Chemical Romance,The Black Parade
Pieces,1,"14 Jun 2025, 05:30",Sum 41,All The Good Sh**. 14 Solid Gold Hits (2000-2008)
How the End Begins,1,"14 Jun 2025, 05:26",Sum 41,Heaven :x: Hell
It's All Me,1,"14 Jun 2025, 05:24",Sum 41,Heaven :x: Hell
Paint It Black,1,"14 Jun 2025, 05:21",Sum 41,Heaven :x: Hell
You Wanted War,1,"14 Jun 2025, 05:18",Sum 41,Heaven :x: Hell
House of Liars,1,"14 Jun 2025, 05:15",Sum 41,Heaven :x: Hell
Over the Edge,1,"14 Jun 2025, 05:12",Sum 41,Heaven :x: Hell
I Don't Need Anyone,1,"14 Jun 2025, 05:08",Sum 41,Heaven :x: Hell
Stranger In These Times,1,"14 Jun 2025, 05:05",Sum 41,Heaven :x: Hell
Rise Up,1,"14 Jun 2025, 05:02",Sum 41,Heaven :x: Hell
Preparasi a Salire,1,"14 Jun 2025, 05:01",Sum 41,Heaven :x: Hell
Radio Silence,1,"14 Jun 2025, 04:58",Sum 41,Heaven :x: Hell
Johnny Libertine,1,"14 Jun 2025, 04:56",Sum 41,Heaven :x: Hell
Bad Mistake,1,"14 Jun 2025, 04:53",Sum 41,Heaven :x: Hell
Not Quite Myself,1,"14 Jun 2025, 04:49",Sum 41,Heaven :x: Hell
Dopamine,1,"14 Jun 2025, 04:46",Sum 41,Heaven :x: Hell
Future Primative,1,"14 Jun 2025, 04:44",Sum 41,Heaven :x: Hell
Time Won't Wait,1,"14 Jun 2025, 04:42",Sum 41,Heaven :x: Hell
I Can't Wait,1,"14 Jun 2025, 04:39",Sum 41,Heaven :x: Hell
Landmines,1,"14 Jun 2025, 04:30",Sum 41,Heaven :x: Hell
Waiting On a Twist of Fate,1,"14 Jun 2025, 04:27",Sum 41,Heaven :x: Hell
Let You Fade,1,"14 Jun 2025, 04:24",Linkin Park,From Zero (Deluxe Edition)
Unshatter,1,"14 Jun 2025, 04:21",Linkin Park,From Zero (Deluxe Edition)
Good Things Go,1,"14 Jun 2025, 04:17",Linkin Park,From Zero
IGYEIH,1,"14 Jun 2025, 04:14",Linkin Park,From Zero
Stained,1,"14 Jun 2025, 04:11",Linkin Park,From Zero
Two Faced,1,"14 Jun 2025, 04:08",Linkin Park,From Zero
Overflow,1,"14 Jun 2025, 04:04",Linkin Park,From Zero
Casualty,1,"14 Jun 2025, 04:02",Linkin Park,From Zero
Over Each Other,1,"14 Jun 2025, 03:59",Linkin Park,From Zero
Heavy Is the Crown,1,"14 Jun 2025, 03:56",Linkin Park,From Zero
Cut the Bridge,1,"14 Jun 2025, 03:52",Linkin Park,From Zero
Perdóname,1,"14 Jun 2025, 03:48",Eddy Lover,Perdóname
Luz Sin Gravedad,1,"14 Jun 2025, 03:44",Belinda,Utopia
Pudo Ser Tan Facil,1,"14 Jun 2025, 03:40",Belinda,Utopia
Alguien Mas,1,"14 Jun 2025, 03:37",Belinda,Utopia
Alguien Mas,1,"14 Jun 2025, 01:04",Belinda,Utopia
Just Keep Watching (From F1® The Movie),1,"14 Jun 2025, 01:01",Tate McRae,Just Keep Watching (From F1® The Movie)
Style,1,"14 Jun 2025, 00:57",Taylor Swift,1989
Walk of Fame (feat. Brittany Howard),1,"14 Jun 2025, 00:51",Miley Cyrus,Something Beautiful
FINAL BOSS,1,"14 Jun 2025, 00:48",Marina,PRINCESS OF POWER
BUTTERFLY,1,"14 Jun 2025, 00:44",Marina,PRINCESS OF POWER
Aries,1,"14 Jun 2025, 00:41",Belinda,INDÓMITA
The Last Time,1,"14 Jun 2025, 00:36",Taylor Swift,Red
exile,1,"14 Jun 2025, 00:31",Taylor Swift,folklore
the 1,1,"14 Jun 2025, 00:28",Taylor Swift,folklore
Delicate,1,"14 Jun 2025, 00:24",Taylor Swift,reputation
Hey Stephen,1,"14 Jun 2025, 00:19",Taylor Swift,Fearless (Platinum Edition)
Mr. Perfectly Fine (Taylor’s Version) (From the Vault),1,"14 Jun 2025, 00:15",Taylor Swift,Fearless (Taylor's Version)
The Alchemy,1,"14 Jun 2025, 00:12",Taylor Swift,THE TORTURED POETS DEPARTMENT
Guilty as Sin?,1,"14 Jun 2025, 00:07",Taylor Swift,THE TORTURED POETS DEPARTMENT
So High School,1,"14 Jun 2025, 00:04",Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Bella Traicion,1,"14 Jun 2025, 00:00",Belinda,Utopia
Bejeweled,1,"13 Jun 2025, 23:57",Taylor Swift,Midnights
2 Die 4 (feat. Charli XCX),1,"13 Jun 2025, 23:52",Addison Rae,AR
Van Gogh,1,"13 Jun 2025, 23:48",Belinda,INDÓMITA
Look What You Made Me Do,1,"13 Jun 2025, 23:45",Taylor Swift,reputation
Ni Freud Ni Tu Mama,1,"13 Jun 2025, 23:42",Belinda,Utopia
Up From the Bottom,1,"13 Jun 2025, 23:38",Linkin Park,From Zero (Deluxe Edition)
The Emptiness Machine,1,"13 Jun 2025, 23:35",Linkin Park,From Zero
Luz Sin Gravedad,1,"13 Jun 2025, 23:31",Belinda,Utopia
Landmines,1,"13 Jun 2025, 23:28",Sum 41,Heaven :x: Hell
The End.,1,"13 Jun 2025, 23:26",My Chemical Romance,The Black Parade
Helena,1,"13 Jun 2025, 23:23",My Chemical Romance,Three Cheers for Sweet Revenge
This Is Gospel,1,"13 Jun 2025, 23:20",Panic! at the Disco,"Too Weird to Live, Too Rare to Die!"
You Need to Calm Down,1,"13 Jun 2025, 23:17",Taylor Swift,Lover
Just Keep Watching (From F1® The Movie),1,"13 Jun 2025, 23:15",Tate McRae,Just Keep Watching (From F1® The Movie)
Now That We Don't Talk (Taylor's Version) (From the Vault),1,"13 Jun 2025, 23:12",Taylor Swift,1989 (Taylor's Version)
CUPID'S GIRL,1,"13 Jun 2025, 23:09",Marina,PRINCESS OF POWER
I <3 YOU,1,"13 Jun 2025, 23:05",Marina,PRINCESS OF POWER
Van Gogh,1,"13 Jun 2025, 23:02",Belinda,INDÓMITA
Aries,1,"13 Jun 2025, 22:59",Belinda,INDÓMITA
#NAME?,1,"13 Jun 2025, 22:56",Belinda,INDÓMITA
Fame Is a Gun,1,"13 Jun 2025, 22:53",Addison Rae,Addison
I <3 YOU,1,"13 Jun 2025, 22:46",Marina,PRINCESS OF POWER
Van Gogh,1,"13 Jun 2025, 22:32",Belinda,INDÓMITA
Aries,1,"13 Jun 2025, 22:29",Belinda,INDÓMITA
Van Gogh,1,"13 Jun 2025, 22:26",Belinda,INDÓMITA
Never Not Love You,1,"13 Jun 2025, 22:22",Belinda,INDÓMITA
#NAME?,1,"13 Jun 2025, 22:19",Belinda,INDÓMITA
Gata Only,1,"13 Jun 2025, 20:59",FloyyMenor,Gata Only
CAIRO,1,"13 Jun 2025, 20:55",KAROL G,MAÑANA SERÁ BONITO
OKI DOKI,1,"13 Jun 2025, 20:53",KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON)
Luz Sin Gravedad,1,"13 Jun 2025, 20:49",Belinda,Utopia
Pudo Ser Tan Facil,1,"13 Jun 2025, 20:45",Belinda,Utopia
Alguien Mas,1,"13 Jun 2025, 20:42",Belinda,Utopia
Bella Traicion,1,"13 Jun 2025, 20:38",Belinda,Utopia
Ni Freud Ni Tu Mama,1,"13 Jun 2025, 19:14",Belinda,Utopia
Fame Is a Gun,1,"13 Jun 2025, 19:11",Addison Rae,Addison
I <3 YOU,1,"13 Jun 2025, 19:08",Marina,PRINCESS OF POWER
Never Not Love You,1,"13 Jun 2025, 19:04",Belinda,INDÓMITA
#NAME?,1,"13 Jun 2025, 19:01",Belinda,INDÓMITA
Style,1,"13 Jun 2025, 18:57",Taylor Swift,1989
Walk of Fame (feat. Brittany Howard),1,"13 Jun 2025, 18:51",Miley Cyrus,Something Beautiful
Just Keep Watching (From F1® The Movie),1,"13 Jun 2025, 18:49",Tate McRae,Just Keep Watching (From F1® The Movie)
Heartbreak,1,"13 Jun 2025, 18:46",MØ,Plæygirl
See a Little Light,1,"13 Jun 2025, 18:42",Belinda,Utopia
Knife,1,"13 Jun 2025, 18:39",MØ,Plæygirl
Paladin Strait,1,"13 Jun 2025, 18:32",Twenty One Pilots,Clancy
At the Risk of Feeling Dumb,1,"13 Jun 2025, 18:29",Twenty One Pilots,Clancy
Oldies Station,1,"13 Jun 2025, 18:25",Twenty One Pilots,Clancy
Snap Back,1,"13 Jun 2025, 18:22",Twenty One Pilots,Clancy
Navigating,1,"13 Jun 2025, 18:18",Twenty One Pilots,Clancy
Lavish,1,"13 Jun 2025, 18:15",Twenty One Pilots,Clancy
The Craving (Jenna's version),1,"13 Jun 2025, 18:12",Twenty One Pilots,Clancy
Vignette,1,"13 Jun 2025, 18:06",Twenty One Pilots,Clancy
Routines in the Night,1,"13 Jun 2025, 18:02",Twenty One Pilots,Clancy
Midwest Indigo,1,"13 Jun 2025, 17:59",Twenty One Pilots,Clancy
Backslide,1,"13 Jun 2025, 17:56",Twenty One Pilots,Clancy
Next Semester,1,"13 Jun 2025, 17:52",Twenty One Pilots,Clancy
The Contract,1,"13 Jun 2025, 17:48",Twenty One Pilots,The Contract
Overcompensate,1,"13 Jun 2025, 17:37",Twenty One Pilots,Clancy
#NAME?,1,"13 Jun 2025, 17:34",Belinda,INDÓMITA
LA MALA,1,"13 Jun 2025, 17:32",Belinda,INDÓMITA
Never Not Love You,1,"13 Jun 2025, 17:28",Belinda,INDÓMITA
Walk of Fame (feat. Brittany Howard),1,"13 Jun 2025, 17:22",Miley Cyrus,Something Beautiful
22,1,"13 Jun 2025, 17:19",Taylor Swift,Red
We Are Never Ever Getting Back Together,1,"13 Jun 2025, 17:15",Taylor Swift,Red
The Last Time,1,"13 Jun 2025, 17:10",Taylor Swift,Red
Sad Beautiful Tragic,1,"13 Jun 2025, 17:06",Taylor Swift,Red
The Lucky One,1,"13 Jun 2025, 17:02",Taylor Swift,Red
Everything Has Changed,1,"13 Jun 2025, 16:57",Taylor Swift,Red
Fame Is a Gun,1,"13 Jun 2025, 16:54",Addison Rae,Fame Is a Gun
Every Girl You've Ever Loved (feat. Naomi Campbell),1,"13 Jun 2025, 16:48",Miley Cyrus,Something Beautiful
Truth,1,"13 Jun 2025, 16:44",Dean Lewis,Truth
I Don't Feel Like Dancin',1,"13 Jun 2025, 16:39",Scissor Sisters,Ta-Dah
Fifteen,1,"13 Jun 2025, 16:34",Taylor Swift,Fearless (Platinum Edition)
Love Story,1,"13 Jun 2025, 16:31",Taylor Swift,Fearless (Platinum Edition)
Hey Stephen,1,"13 Jun 2025, 16:26",Taylor Swift,Fearless (Platinum Edition)
You Belong with Me,1,"13 Jun 2025, 16:22",Taylor Swift,Fearless (Platinum Edition)
Back to December,1,"13 Jun 2025, 16:18",Taylor Swift,Speak Now
Love Me Like You Do,1,"13 Jun 2025, 16:13",Ellie Goulding,Fifty Shades of Grey (Original Motion Picture Soundtrack)
You Are in Love,1,"13 Jun 2025, 16:09",Taylor Swift,1989 (Deluxe)
End of the World,1,"13 Jun 2025, 16:05",Miley Cyrus,Something Beautiful
Golden Burning Sun,1,"13 Jun 2025, 15:50",Miley Cyrus,Something Beautiful
Enchanted,1,"13 Jun 2025, 15:44",Taylor Swift,Speak Now
BUTTERFLY,1,"13 Jun 2025, 15:39",Marina,PRINCESS OF POWER
CUNTISSIMO,1,"13 Jun 2025, 15:35",Marina,PRINCESS OF POWER
CUPID'S GIRL,1,"13 Jun 2025, 15:32",Marina,PRINCESS OF POWER
Diet Pepsi,1,"13 Jun 2025, 15:29",Addison Rae,Addison
Aquamarine,1,"13 Jun 2025, 15:26",Addison Rae,Addison
High Fashion,1,"13 Jun 2025, 15:23",Addison Rae,Addison
Summer Forever,1,"13 Jun 2025, 15:19",Addison Rae,Addison
Fame Is a Gun,1,"13 Jun 2025, 15:16",Addison Rae,Addison
